id,timestamp,symbol_original,symbol_executed,direction,score,entry_price,stop_price,tp1_price,tp2_price,atr,exit_price,exit_result,pnl,status,session,execution_mode,broker_order_id
1,2026-05-17T06:01:35.775Z,MNQ1!,MNQ,buy,7,29500,29490,29545,29575,25,29500,session_end_london,0,closed,Other,shadow,shdw_1778997695775_1rd3ac
2,2026-05-17T14:21:25.245Z,MNQ1!,MNQ,buy,7,29500,29490,29545,29575,25,29545,tp1,54,closed,NYAM,shadow,shdw_1779027685245_o0gnx2
3,2026-05-18T18:15:00.614Z,MNQ1!,MNQ,sell,7,28916.25,28956.4464,28735.3661,28614.7769,100.49104089671141,28916.25,session_end_london,0,closed,NYPM,shadow,shdw_1779128100614_xz20li
4,2026-05-18T19:02:05.854Z,MNQ1!,MNQ,buy,7,29063,29024.847,29234.6883,29349.1472,95.38240409988154,29063,session_end_london,0,closed,NYPM,shadow,shdw_1779130925854_7ktdlt
5,2026-05-19T13:05:43.276Z,MNQ1!,MNQ,buy,7,29500,29490,29545,29575,25,29480,signal_close,-40,closed,Other,shadow,shdw_1779195943276_b1700m
6,2026-05-19T13:05:45.573Z,MNQ1!,MNQ,sell,7,29480,29490,29435,29405,25,29480,manual_close,0,closed,Other,shadow,shdw_1779195945573_um9vj4
7,2026-05-19T14:15:02.777Z,MNQ1!,MNQ,sell,7,28737.25,28772.3511,28579.2952,28473.992,87.75265612083672,28737.25,manual_close,0,closed,NYAM,shadow,shdw_1779200102777_dp8brg
8,2026-05-19T16:41:17.853Z,MNQ1!,MNQ,buy,7,28979.5,28940.8437,29153.4535,29269.4225,96.64084219839313,28979.5,manual_close,0,closed,NYPM,shadow,shdw_1779208877853_4s705o
9,2026-05-20T08:15:01.350Z,MNQ1!,MNQ,buy,7,29079.5,29059.8967,29168.964822285907,29227.774703809842,49.00823460328128,29079.5,session_end_london,0,closed,London,shadow,shdw_1779264901350_lyeeig
10,2026-05-20T12:34:40.425Z,MNQ1!,MNQ,sell,7,29159.75,29176.5596,29084.1067,29033.6778,42.02407076423575,29159.75,manual,0,closed,Other,shadow,shdw_1779280480425_uob8vc
11,2026-05-20T14:30:03.513Z,MNQ1!,MNQ,buy,7,29209.25,29182.0435,29299.5,29359.5,68.01635837284259,29325.25,signal_close,232,closed,NYAM,shadow,shdw_1779287403513_mqe1ml
12,2026-05-20T15:15:38.035Z,MNQ1!,MNQ,sell,7,29325.25,29353.6318,29299.5,29112.3865,70.95451506746907,29325.25,session_end_nyam,0,closed,NYAM,shadow,shdw_1779290138035_lrluws
13,2026-05-22T17:55:19.719Z,MNQ1!,MNQ,buy,7,29700,29680,29790,29840,50,29700,market_close,0,closed,NYPM,shadow,shdw_1779472519719_ooqh2w
14,2026-05-25T07:45:01.823Z,MNQ1!,MNQ,buy,7,29964.5,29952.4728,30037.662980935907,30055.703726169886,30.067908723295258,29964.5,session_end_london,0,closed,London,shadow,shdw_1779695101823_sgq03a
15,2026-05-25T22:35:15.481Z,MNQ1!,MNQ,sell,7,29906.5,29918.7681,29851.2936,29814.4893,30.67021855512929,29781.25,session_end_london,250.5,closed,Other,shadow,shdw_1779748515481_4su122
16,2026-05-26T10:01:30.432Z,MNQ1!,MNQ,buy,7,29854.5,29843.2025,29905.3389,29939.2314,28.24380781312683,30100.75,signal_close,492.5,closed,London,shadow,shdw_1779789690432_sk4niz
17,2026-05-26T14:36:45.590Z,MNQ1!,MNQ,sell,7,30100.75,30118.518,30020.7939,29967.4899,44.420035440673864,30100.75,session_end_nyam,0,closed,NYAM,shadow,shdw_1779806205590_840b7s
18,2026-05-27T07:15:01.789Z,MNQ1!,MNQ,buy,7,30115,30092.4679,30162.5,30199.245461344184,28.165153781394917,30161.25,signal_close,92.5,closed,London,shadow,shdw_1779866101789_kolsyc
19,2026-05-27T08:09:00.513Z,MNQ1!,MNQ,sell,7,30161.25,30183.5294,30111.1213,30077.7022,27.849250312581862,30161.25,session_end_london,0,closed,London,shadow,shdw_1779869340513_wlsyvo
20,2026-05-27T13:40:30.435Z,MNQ1!,MNQ,sell,7,30059.5,30092.6276,29984.9629,29935.2716,41.409473491940616,30059.5,session_end_nyam,0,closed,NYAM,shadow,shdw_1779889230435_o1ek1d
21,2026-05-28T14:15:02.946Z,MNQ1!,MNQ,buy,7,30161.25,30108.6689,30261.25,30311.25,65.72637062785581,30263.75,signal_close,205,closed,NYAM,shadow,shdw_1779977702946_n41lej
22,2026-05-28T15:27:00.928Z,MNQ1!,MNQ,sell,7,30263.75,30318.4374,30261.25,30058.6721,68.35928705492998,30263.75,session_end_nyam,0,closed,NYAM,shadow,shdw_1779982020928_r8mviz
23,2026-05-30T23:10:21.235Z,MNQ1!,MNQ,buy,8,30400,30380,30490,30550,25,30490,signal_close,180,closed,Other,shadow,shdw_1780182621235_f5mabz
24,2026-06-02T14:00:32.855Z,MNQ1!,MNQ,buy,7,30602.75,30565.5799,30692,30743.387937603657,46.462645867885286,30694.5,session_end_nyam,183.5,closed,NYAM,shadow,shdw_1780408832855_c59ose
25,2026-06-04T08:15:00.692Z,MNQ1!,MNQ,sell,7,30405.25,30438.7736,30352.5,30279.536410720353,41.90452975988207,30405.25,session_end_london,0,closed,London,shadow,shdw_1780560900692_a2qv19
26,2026-06-04T13:45:01.380Z,MNQ1!,MNQ,sell,7,30226.5,30275.5506,30126.5,30076.5,61.313302602556455,30424,session_end_nyam,-395,closed,NYAM,shadow,shdw_1780580701380_sb00xw
27,2026-06-09T21:09:32.378Z,MNQ1!,MNQ,buy,99,24850,24834,24886,24910,20,24850,manual,0,closed,Other,shadow,shdw_1781039372378_hocjai
